(בדימ') י' דנציגר,יורם דנציגר
י' אנגלרד (בדימ'),יצחק אנגלרד
ט. שטרסברג כהן,טובה שטרסברג-כהן
י. אנגלרד,יצחק אנגלרד
(בדימ') א' שהם,אורי שהם
ס' גובראן,סלים גובראן
 כבוד השופט א. גולדברג,אליעזר גולדברג
א. מצא,אליהו מצא
(בדימוס) ש' לוין,שלמה לוין
מ. חשין,מישאל חשין
(בדימ') ע' ארבל,עדנה ארבל
(בדימ') א' רובינשטיין,אליקים רובינשטיין
כב' א' א' לוי,א א לוי
(בדימ') ס' ג'ובראן,סלים גובראן
ח. אריאל,ח אריאל
ת' אור (בדימ'),תיאודור אור
 כבוד המשנָה לנשיא מ' נאור,מרים נאור
 המשנה לנשיא ש' לוין,שלמה לוין
(בדימ') מ' נאור,מרים נאור
מ. אילן,מ אילן
ג'ורג' קרא,גורג קרא
יוסף אלרון,יוסף אלון
(בדימ.) ש' לוין,שלמה לוין
הש/ופט י' עמית,יצחק עמית
א' ריבלין (בדימ'),אליעזר ריבלין
מבקשת פורמלית,מבקשת פורמלית
"ע""א 2313/98",עא 231398
(בדימוס) א' ריבלין,אליעזר ריבלין
א. גולדברג,אליעזר גולדברג
א' דנציגר,א דנציגר
(בדימ') צ' זילברטל,צבי זילברטל
ע. זועבי,ע זועבי
כב' א' שהם,אורי שהם
א' אלרון,אספרנצה אלון
ג' בך,גבריאל בך
 כבוד המשנה לנשיא השופט ש' לוין,שלמה לוין
(בדימוס) א' ברק,אהרן ברק
5. הממונה על ההגבלים העסקיים,הממונה ההגבלים העסקיים
 כבוד השופט א' רובינשטיין,אליקים רובינשטיין
י. זמיר,יצחק זמיר
המשנה-לנשיא א' ריבלין,אליעזר ריבלין
שטרסברג כהן,שושנה פיינסוד-כהן
4. קצין התגמולים - משרד הביטחון,קצין התגמולים-משרד
3. סיון לוי,סיון לוי
 כבוד המשנה לנשיא א' ריבלין,אליעזר ריבלין
כב' צ' זילברטל,צבי זילברטל
 כב' המשנה לנשיא ש' לוין,שלמה לוין
כב' מ' חשין,מישאל חשין
כב' י' זמיר,יצחק זמיר
3. סיוון לוי,סיוון לוי
4. מדינת ישראל,מדינת ישראל
 כבוד השופט מ' אילן,מ אילן
כובד ד' ביניש,כובד ד ביניש
א' אנגלרד,א אנגלרד
בבית המשפט העליון בירושלים,בבית המשפט העליון בירושלים
2. דוד אידלהיט,דוד אידלהיט
3. ארנה רייכין,ארנה רייכין
4. שירלי כספי,שירלי כספי
5. אריה ברנשטיין,אילת שומרוני-ברנשטיין
6. היועץ המשפטי לממשלה,היועץ המשפטי לממשלה
צ' א' טל,צ א טל
ד' בייניש,דורית ביניש
המשנה-לנשיא (בדימ') א' ריבלין,אליעזר ריבלין
(בדימוס) א' מצא,אליהו מצא
נעם סולברג,נעם סולברג
א' פרוקצי'ה,אילה פרוקציה
 כבוד השופט י' גולדברג,י גולדברג
א שהם,אורי שהם
 כב' הרשמת מ' אגמון,מיכל אגמון-גונן
4. היועץ המשפטי לממשלה,היועץ המשפטי לממשלה
 כבוד השופט א' גרוניס,אשר דן גרוניס
י' דנציגר (בדימ'),יורם דנציגר
א' שוהם,אורי שהם
א' מלצר,א מלצר
ד' דורנר (דימ'),דליה דורנר
חוזה גגטי,חוזה גגטי
אלברט רימי,אלברט רימי
 כבוד השופטת ט' שטרסברג כהן,טובה שטרסברג-כהן
 אסתר קובו ומיכל רובינשטיין,ומיכל רובינשטיין
מ. נאור,מרים נאור
א. שטרסברג כהן,א שטרסברג כהן
(בדימוס) א' א' לוי,א א לוי
י' אריאל,י אריאל
י. גולדברג,י גולדברג
"ע""א 4880/97",עא 488097
"ע""א 4896/97",עא 489697
 כבוד השופט א' א' לוי,א א לוי
"ע""פ 5022/01",עפ 502201
 כב' המשנה לנשיא ש. לוין,שלמה לוין
 כב' השופט י' גולדברג,י גולדברג
ל א' רובינשטיין,אליקים רובינשטיין
 כב' השופט ת' אור,תיאודור אור
מבקש העיון,מבקש העיון
יעקב טירקל,יעקב טירקל
ע' גרופסקופף,ע גרופסקופף
"3. ""נתיבי ישראל החברה הלאומית לתשתיות תחבורה בע""מ""",נתיבי ישראל החברה הלאומית לתשתיות תחבורה בעמ
ר' זועבי,רגד זועבי
י' פרוקצ'יה,י פרוקציה
כב' א' פרוקצ'ה,אילה פרוקציה
"רע""פ 5798/00",רעפ 579800
מבקש העיון בתיק,מבקש העיון בתיק
בית המשפט,בית המשפט
י' מלצר,י מלצר
א' ריבלין (בדימוס),אליעזר ריבלין
ים א' רובינשטיין,ים א רובינשטיין
ע' ארבל (בדימ'),עדנה ארבל
"ע""א 5954/97",עא 595497
א' נאור,א נאור
(בדימוס) א' רובינשטיין,אליקים רובינשטיין
", א' ריבלין",אליעזר ריבלין
כב' ע' פוגלמן,עוזי פוגלמן
 השופט מ' חשין,מישאל חשין
" חוק המעצרים), החל מיום 30.7.04 או עד למתן פסק-דין, לפי המוקדם מבין המועדים.",המוקדם המועדים
 כבוד המשנה לנשיא ש. לוין כבוד השופט י. קדמי,שלמה לוין
(בדי'מ') ד' ביניש,דורית ביניש
כבוד השופטת מ' נאור,מרים נאור
כבוד השופט ע' פוגלמן,עוזי פוגלמן
כבוד השופט י' עמית,יצחק עמית
המשנה-לנשיאה א' ריבלין,אליעזר ריבלין
י' דנציגר (בדימוס),יורם דנציגר
ע' זועבי,ע זועבי
 כבוד המשנה לנשאי ש' לוין,לנשאי ש לוין
 כבוד הנשיא א' ברק כבוד השופט י' טירקל,אהרן ברק
 כבוד השופטת ת' אור,תיאודור אור
כב' א' גרוניס,אשר דן גרוניס
"כלל חברה לביטוח בע""מ",חברה לביטוח בעמ
 כבוד המשנה לנשיא ת' אור,תיאודור אור
 כבוד המשנה לנשיא (בדימוס) ש' לוין,שלמה לוין
 כב' השופט י' טירקל,יעקב טירקל
המשנה (בדימ') לנשיא ת' אור,תיאודור אור
"ע""א 8114/14",עא 811414
אהרון אהרוני,אהרון אהרוני
י' מינץ,י מינץ
"ע""א 8214/02",עא 821402
,רשת תקשורת והפקות בעמ
"3. רשת תקשורת והפקות (1992) בע""מ",רשת תקשורת
 כבוד השופט נ' הנדל,ניל הנדל
